customer,name,address,geometry
    860381,ACROSSMAP GROUP LLC,15421 W DIXIE HWY BAY 17,"(None, None)"
    135058,PRESIDENTE #58,2505 N DIXIE HWY,"(40.77353402720969, -84.04656152535188)"
   1916027,WAL-MART DC 6027,310 OWENS ROAD,"(32.19180030166604, -93.30550267760047)"
    172673,PUBLIX #673,14375 MIRAMAR PKWY,"(25.9802429, -80.337514)"
   1913560,WALMART #3560 VEND#251893921,638 QUEQUECHAN ST,"(41.6860346, -71.1416599)"
   1012638,KEY FOOD#2638,540 PEQUONNOCK ST,"(41.1830606, -73.2044945)"
   1721536,PUBLIX #1536,18330 COLLINS AVE,"(40.847055, -75.37281)"
    172871,PUBLIX #871,5997 STERLING RD,"(44.03338107142857, -84.04582453061224)"
    860129,BRAVO SUPERMARKET,12402 S ORANGE BLOSSOM TRL,"(28.3841735471778, -81.40430603716126)"
   1721445,PUBLIX #1445,1112 KEY WEST PLAZA,"(24.5660635, -81.7703455)"
    133029,NAVARRO/CVS #29 (10719),3915 PALM AVE,"(40.144428000000005, -74.95447414285715)"
    172714,PUBLIX #714,4870 BISCAYNE BLVD,"(25.8202996, -80.18818219493703)"
   1721719,PUBLIX #1719,8160 WILES RD,"(26.2852566, -80.23558863706201)"
   1916011,WAL-MART DC 6011,2200 MANUFACTURERS BOULEVARD,"(31.60153, -90.423653)"
     15363,YELLOW MARKET/ FAMOUS FARM,5812 GLENWOOD RD,"(40.63354335, -73.91994659236306)"
    753639,FARMS FRESH MARKET CORP,1420 1ST ST N,"(47.45045618367347, -99.1328723877551)"
     13355,EXTRA SUPERMARKET / AVON SPMKT,125 AVON AVE,"(38.0585926, -84.4780023050514)"
   1914574,WAL-MART #4574,5825 THUNDER RD NW,"(35.3786797, -80.72482378068646)"
    172750,PUBLIX #750,1003 E COMMERCIAL BLVD,"(26.1909992, -80.1344078)"
   1721097,PUBLIX #1097,1940 CORDOVA RD,"(26.09725665, -80.13012500809555)"
   1915340,WAL-MART #5340 V#251893921,500 ROUTE 38,"(47.8863445, -72.0002584)"
     11712,AMERICAS FOOD BASKET #268,5311 CHURCH AVE,"(40.652639, -73.92704253002013)"
   1912139,WALMART #2139 VEND#251893921,780 LYNNWAY,"(42.44855645, -70.96102342372126)"
     91025,"LA BODEGA , LTD",3225 S WESTERN AVE,"(41.835215950000006, -87.68327333349208)"
    707225,K & S MARKET #2,5861 CHARLOTTE PIKE,"(36.149049329827015, -86.8626906912109)"
     91174,"FAMILY FOOD DISTRIBUTORS, INC",7307 S. Meade,"(41.75896206324026, -87.77272615049039)"
    620028,UNIDOS SUPERMARKET,1200 SIMPSON RD,"(30.612009, -83.906607)"
    860002,RIOS MEAT MARKET & GROCERY,3931 N FEDERAL HWY,"(26.38499912244898, -80.07659159183673)"
   1912651,WAL-MART #2651 V#251893921,100 NORTH MAIN STREET,"(36.0952337, -80.24394625550522)"
   1915965,WAL-MART #5965,10900 S. DOTY AVENUE,"(41.696586499999995, -87.59911079155418)"
   1921716,HARVEYS # 1716,49 ARLINTON ROAD SOUTH,"(None, None)"
     15173,DAVE WEST INDIAN PRODUCTS CORP,9807 97TH AVE,"(45.21871877186092, -94.90912712136387)"
    444064,FOOD DEPOT STORE #64,3530 HONEY CHREEK COMMONS SE,"(None, None)"
    172023,PUBLIX #23,6790 FOREST MILL BLVD,"(None, None)"
  679895KF,FANCY FRUIT & PRODUCE #4354,945 WEST STATE ROAD 436,"(40.7445718, -73.5666427)"
   1915298,WAL-MART #5298,223 N MYRTLE SCHOOL RD,"(35.260797, -81.226489)"
   1721101,PUBLIX #1101,13850 LANDSTAR BLVD,"(28.3628369, -81.3672609)"
   1914250,WAL-MART #4250,1001 SHILOH GLEEN DR,"(None, None)"
    191767,WAL-MART #767,2767 WEST US HIGHWAY 90,"(30.18143615, -82.67754124863953)"
     11188,ASSOCIATED #16205 (C),1197 GRAND AVE,"(40.681372, -73.6142574)"
     26146,KEY FOOD #1834 (C),2300 RANDALL AVE,"(40.8193293, -73.8443395)"
     28337,SPRING BEVERAGES WHOLESALE,750 HUYLER ST,"(40.858129057326636, -74.05119544982016)"
   1721009,PUBLIX #1009,911 SW 1ST AVE,"(25.7651101, -80.195085)"
   1912944,WAL-MART #2944,955 S WOODLAND BLVD,"(29.01200065, -81.30143105307056)"
     90305,K & F INTERNATIONAL MARKET,13911 W. 9 MILE ROAD,"(42.4594081, -83.1860773)"
    444047,FOOD DEPOT STORE #47,5741 ROCKBRIDGE RD,"(33.78626675624762, -84.16022557216752)"
    709189,RESTAURANT DEPOT #189,1500 E. 97TH STREET,"(38.95155021719226, -94.57073837280547)"
     11404,KEY FOOD #1648 (C),935 ROSEDALE RD,"(40.65262225, -73.7241824090888)"
     25697,KEY FOOD #2657 (C),10816 LIBERTY AVE,"(37.37488209393198, -120.67851190403307)"
    860639,CARDENAS DISTRIBUTOR,18615 SW 107TH AVE,"(25.5954324, -80.3638656)"
   1912836,WAL-MART #2836,1051 E. BROAD ST,"(35.5943249, -78.7816284)"
     90943,GARDEN FRESH MUNDELEIN,400 E TOWNLINE ROAD,"(45.6353966704081, -79.83273001787407)"
    860844,MAURO'S MEAT MARKET,21753 STATE RD 7,"(26.353085789473685, -80.20340643859649)"
     23971,20 ST WHOLESALE INC,186 25TH ST,"(40.6605926, -73.99880821131055)"
    172655,PUBLIX #655,10755 NW 58TH ST,"(39.20038510761721, -94.70460359859229)"
    191585,WAL-MART #585,2377 DAVE LYLE BLVD,"(34.94424065, -80.96308817932089)"
    112279,SHOPRITE #279,25-43 PROSPECT ST,"(35.220281, -80.8254704)"
     28390,ROCKAWAY BEVERAGE INC,15325 ROCKAWAY BLVD,"(40.6648447, -73.7781266)"
   1721124,PUBLIX #1124,3500 SW DAVIE BLVD,"(26.1073592, -80.1468389)"
    860236,MR. OFFERS,4732 NW 165 ST,"(29.5702574, -82.7833593)"
    860638,IDEAL SUPERMARKET,7611 CAUSEWAY BLVD,"(27.92261419191919, -82.37055163636364)"
    709998,2000 FOOD LLC/COMPARE FOOD,2000 AVONDALE DR,"(36.0159718, -78.8850041)"
    191745,WAL-MART #745,5600 N HENRY BLVD,"(33.553185, -84.25538)"
